home_fps,total_qty_kg,num_cards,avg_per_card
1120,968.2103631963297,256,3.782071731235663
39394,608.761506533075,125,4.8700920522646
860,512.8212906229522,89,5.762036973291598
1204,460.78655396196547,161,2.8620282854780466
1123,380.58669002671536,160,2.378666812666971
925,340.54302910407,119,2.861706126924958
39273,337.38088017291375,76,4.439222107538339
955,330.2495303071535,39,8.467936674542399
39395,326.7205387978827,62,5.269686109643269
918,323.8711658159524,50,6.477423316319048
41168,274.3389365820008,38,7.219445699526338
41231,261.4175727552956,35,7.46907350729416
931,242.21211767528223,51,4.74925720931926
1070,232.2524687173266,53,4.382122051270313
938,163.65073023026335,48,3.4093902131304863
942,159.96132448200302,52,3.0761793169615967
41297,155.96273720992912,40,3.899068430248228
1122,137.10726025312903,72,1.9042675035156809
27017,134.74288153430766,10,13.474288153430766
14422,125.21413107909937,7,17.88773301129991
3891,124.83236091549435,5,24.96647218309887
870,114.01437714667165,42,2.714628027301706
19536,105.13931657138943,6,17.523219428564904
3995,104.84072852338646,8,13.105091065423307
7673,104.44535716422648,5,20.889071432845295
15176,102.76153554184837,6,17.126922590308062
41188,101.59482185719251,13,7.814986296707117
3762,97.14667101820665,8,12.14333387727583
14851,96.83420079807492,6,16.13903346634582
3767,90.98573225898066,7,12.997961751282952
24894,90.18598994188906,6,15.030998323648177
3770,89.15745487274732,7,12.736779267535331
3873,89.0268490063116,5,17.80536980126232
26241,86.90730175496002,4,21.726825438740004
926,85.85574407327431,23,3.7328584379684484
5674,85.7300179326746,9,9.525557548074955
1065,85.01549729411278,11,7.7286815721920705
39902,84.74181209106123,18,4.707878449503402
858,79.58374131500301,10,7.958374131500301
12002,79.0930010089037,9,8.788111223211523
29009,77.88458487520857,16,4.867786554700536
936,77.75559153355586,31,2.508244888179221
946,77.46582303049081,15,5.164388202032721
25321,74.46606873891592,3,24.822022912971974
25360,74.03102433810986,4,18.507756084527465
14329,72.94690606588414,5,14.589381213176827
937,72.88102306001701,27,2.6992971503710006
902,71.47540356899793,6,11.912567261499655
12114,70.5620819440918,3,23.520693981363934
391,69.98948041736821,5,13.997896083473643
3933,68.44385513021614,7,9.777693590030877
14936,68.28076120806614,7,9.754394458295163
935,68.26224265434296,19,3.5927496133864714
2489,68.12288897230755,7,9.731841281758221
14872,67.52738702845689,7,9.64676957549384
41629,66.01273330070569,3,22.004244433568562
929,62.82191115063595,11,5.711082831875995
19569,62.76091577348941,6,10.460152628914901
1118,62.15042613521652,35,1.7757264610061863
3881,61.30778316749358,7,8.758254738213369
25318,60.661872362151556,5,12.13237447243031
5715,60.367768725656475,7,8.623966960808067
14426,59.795104188506336,7,8.54215774121519
3941,59.60540440511595,6,9.934234067519325
952,57.851598602012736,13,4.450122969385595
12080,57.62133876462038,3,19.207112921540126
39618,57.27573458758174,7,8.182247798225962
3952,56.67044923148449,5,11.334089846296898
883,56.27274102898194,11,5.115703729907449
898,55.32987161279478,9,6.147763512532753
3981,54.91883396584576,5,10.983766793169151
3924,54.372680897587664,7,7.767525842512524
2441,53.02388654809982,4,13.255971637024954
7425,52.69667249550666,4,13.174168123876665
1121,52.544751191514656,22,2.3883977814324844
915,52.3818671583264,14,3.7415619398804574
2539,51.645646773355736,2,25.822823386677868
41536,50.60217750999223,2,25.301088754996115
3939,50.10337505005383,3,16.70112501668461
3953,49.81726136710685,4,12.454315341776713
933,49.75037837958932,13,3.8269521830453326
39868,49.62844009247734,2,24.81422004623867
12215,49.587918622893916,7,7.083988374699131
7460,49.286226307051166,2,24.643113153525583
2413,48.7650367700558,7,6.966433824293686
41028,47.898605770513456,3,15.966201923504485
3876,47.864790595085594,4,11.966197648771399
20516,47.81641663867618,4,11.954104159669045
7870,47.730302449085215,2,23.865151224542608
12115,46.82241021689393,2,23.411205108446964
41251,46.744882632650544,4,11.686220658162636
3765,46.62120235094438,6,7.770200391824063
29004,46.43569273585373,16,2.902230795990858
39214,45.95813257988222,2,22.97906628994111
40432,45.71327899414237,2,22.856639497071185
851,45.62778975551766,8,5.703473719439708
14970,45.189280377246845,6,7.531546729541141
14671,45.122964472955495,7,6.446137781850785
39208,44.674913040557655,3,14.891637680185886
39272,44.49855208119506,21,2.118978670533098
3121,44.47446425922476,4,11.11861606480619
3768,44.46775792412951,3,14.822585974709837
39382,44.40965910070632,3,14.80321970023544
26978,44.364780022577705,5,8.87295600451554
138,44.28922758251799,5,8.857845516503598
14763,44.02102297649947,2,22.010511488249733
2416,43.86694338728939,6,7.3111572312148985
12116,43.553670944477005,4,10.888417736119251
40111,43.281701516957185,2,21.640850758478592
12946,43.269693149457886,4,10.817423287364472
12121,43.266715164169966,5,8.653343032833993
26998,43.23145556023596,3,14.41048518674532
2513,43.16115181216664,3,14.387050604055547
15309,43.13612935626301,6,7.189354892710502
2553,42.398660303201595,2,21.199330151600797
40475,42.12955106439813,2,21.064775532199064
3842,42.01382747774496,4,10.50345686943624
5977,41.95954683975679,2,20.979773419878395
39271,41.760130209831125,6,6.960021701638521
3957,41.617504008652055,3,13.872501336217352
4049,41.47642106063951,2,20.738210530319755
17675,41.350200265119696,2,20.675100132559848
477,41.29622270601285,4,10.324055676503212
3769,41.202092721160696,6,6.867015453526783
885,40.96295637309798,6,6.82715939551633
24594,40.94655054227263,3,13.648850180757544
14669,40.943962064226405,4,10.235990516056601
29068,40.60701122658995,2,20.303505613294973
17579,40.3488929399196,2,20.1744464699598
12068,40.23407441533556,3,13.411358138445188
27428,39.698866063162804,4,9.924716515790701
14417,39.64440045913511,3,13.214800153045038
5649,39.56545946175578,6,6.5942432436259635
40975,39.544439131403635,3,13.181479710467878
3863,39.47915787798369,5,7.895831575596738
41212,39.379111944293015,25,1.5751644777717206
19543,39.17679651178205,2,19.588398255891025
25332,39.151615644480884,4,9.787903911120221
41252,39.0661687258297,3,13.022056241943233
4015,38.9627983153564,4,9.7406995788391
41391,38.73675903469961,4,9.684189758674902
5787,38.73673431731058,2,19.36836715865529
27001,38.71226313251593,4,9.678065783128982
26989,38.70682094724457,3,12.902273649081524
3808,38.48301492202239,2,19.241507461011196
41190,38.254212968232096,2,19.127106484116048
4542,38.19242213280261,1,38.19242213280261
12009,38.18117983482583,5,7.636235966965167
3806,38.11975623125723,3,12.706585410419075
3760,37.889306870232986,4,9.472326717558246
3923,37.79459069128154,1,37.79459069128154
15090,37.7466454409187,4,9.436661360229675
41369,37.516179825267706,2,18.758089912633853
14328,37.28115793813262,3,12.427052646044208
3991,37.089594035780124,3,12.363198011926707
14994,37.07571890893785,3,12.35857296964595
27122,37.07438875301729,3,12.358129584339096
7437,36.963243552464434,3,12.321081184154812
14499,36.924611203881724,3,12.308203734627241
3807,36.90181594855968,2,18.45090797427984
28086,36.72827950341868,1,36.72827950341868
40676,36.720682984877165,3,12.240227661625722
17970,36.59947974399549,1,36.59947974399549
10321,36.45901408104974,1,36.45901408104974
3992,36.441563090332544,5,7.2883126180665085
18671,36.291494961913024,1,36.291494961913024
14988,36.07975537266906,1,36.07975537266906
14940,36.05543545034478,2,18.02771772517239
13096,35.984769332072844,1,35.984769332072844
4050,35.8692315916476,1,35.8692315916476
6216,35.67883918834396,4,8.91970979708599
20644,35.672467065912386,2,17.836233532956193
25329,35.6508583448104,2,17.8254291724052
17559,35.34592318690053,2,17.672961593450264
25111,35.33279782194164,2,17.66639891097082
22123,35.289901539528095,1,35.289901539528095
13102,35.282294393456375,2,17.641147196728188
20946,35.13802550896786,1,35.13802550896786
8411,34.95488458723067,1,34.95488458723067
41534,34.949417232698714,1,34.949417232698714
2527,34.92109824062342,3,11.640366080207807
15211,34.799897219407804,4,8.699974304851951
3829,34.76759013670775,5,6.95351802734155
14650,34.75968566439526,3,11.586561888131754
20449,34.66776685224089,1,34.66776685224089
24871,34.66713301900308,1,34.66713301900308
41308,34.55679778636998,1,34.55679778636998
26723,34.50384624728029,1,34.50384624728029
39951,34.47452961805638,1,34.47452961805638
39254,34.470667854698554,2,17.235333927349277
20687,34.41753209100941,1,34.41753209100941
23488,34.32042360851505,1,34.32042360851505
11971,34.29832357725755,1,34.29832357725755
1408,34.23230292521974,1,34.23230292521974
18867,34.12704910314439,1,34.12704910314439
6156,34.08970983970625,1,34.08970983970625
8276,34.00269956729383,1,34.00269956729383
3827,33.96299148419542,4,8.490747871048855
737,33.92983999097376,1,33.92983999097376
2510,33.851598918270476,3,11.28386630609016
20530,33.79685062617994,1,33.79685062617994
41009,33.791008534512265,1,33.791008534512265
14628,33.753080921926745,1,33.753080921926745
392,33.69864897479298,8,4.212331121849123
7517,33.68789508616344,1,33.68789508616344
26979,33.51089245469167,2,16.755446227345836
4037,33.354208987041204,3,11.118069662347068
876,33.20952383030424,6,5.53492063838404
2969,33.19426392057665,1,33.19426392057665
22769,33.059900511930095,2,16.529950255965048
41436,33.04871616806227,1,33.04871616806227
4881,32.849927779884794,3,10.949975926628264
20413,32.81541826300655,1,32.81541826300655
