CARD_TYPE,total_qty_kg,num_cards,avg_per_card,share_pct
PH,21792.13700388266,4126,5.2816619010864425,73.26179890999718
A,7868.201548872339,810,9.7138290726819,26.451678399145102
S,85.22779711651941,10,8.52277971165194,0.2865226908577168
